"Post ID","Page ID","Page name",Title,Description,"Duration (secs)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,"Seconds viewed","Average Seconds viewed",Comments,Likes,Shares,"People reached",Impressions,"Reels plays","60-second video views","3-second video views","Other clicks","Photo views","Unique 60-second video views",Engagements,"Engaged users","Overall negative feedback","3-second viewers","Unique negative feedback from users","Views by top audience (65+)","Views by top audience (55-64)","Views by top audience (45-54)","Views by top audience (35-44)","Views by top audience (25-34)","Views by top audience (18-24)","Views by top audience (13-17)","Views by top audience (65+, M)","Views by top audience (65+, F)","Views by top audience (55-64, M)","Views by top audience (55-64, F)","Views by top audience (45-54, M)","Views by top audience (45-54, F)","Views by top audience (35-44, M)","Views by top audience (35-44, F)","Views by top audience (25-34, M)","Views by top audience (25-34, F)","Views by top audience (18-24, M)","Views by top audience (18-24, F)","Views by top audience (13-17, M)","Views by top audience (13-17, F)","Views by top audience (M)","Views by top audience (F)","Views by country (Saudi Arabia (SA))","Views by country (Bangladesh (BD))","Views by country (India (IN))","Views by country (Pakistan (PK))","Views by country (Nepal (NP))","Views by country (Indonesia (ID))","Views by country (Nigeria (NG))","Views by country (Mexico (MX))","Views by country (Myanmar (MM))","Views by country (Uzbekistan (UZ))","Views by country (Germany (DE))","Views by country (Sierra Leone (SL))","Views by country (Mongolia (MN))","Views by country (Greece (GR))","Views by country (Morocco (MA))","Views by country (Brazil (BR))","Views by country (Colombia (CO))","Views by country (Australia (AU))","Views by country (Italy (IT))","Views by country (Romania (RO))","Views by country (Canada (CA))","Views by country (United Kingdom (GB))","Views by country (Iran (IR))","Views by country (United Arab Emirates (AE))","Views by country (United States (US))","Views by country (Cambodia (KH))","Views by country (Egypt (EG))","Views by country (France (FR))","Views by country (Fiji (FJ))","Views by country (Algeria (DZ))","Views by country (Bhutan (BT))","Views by country (Afghanistan (AF))","Views by country (Qatar (QA))","Views by country (Spain (ES))","Views by country (Portugal (PT))","Views by country (New Zealand (NZ))","Views by country (Mauritius (MU))","Views by country (Malaysia (MY))"
1164703241556142,247903501729335,HU.co,,"Like, Follow & Share.
#reels #reelsviralfb #reelsinstagram #reelsfypシfb #shorts #shortreels #trending #quranquotes",34,"03/16/2024 23:03",N/A,https://www.facebook.com/reel/1164703241556142/,0,0,"FB reel",,,,,Lifetime,678.43,9.29,1,5,3,70,74,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398019879645285,247903501729335,HU.co,,"#reels #reelsviralfb #reelsinstagram #reelsfypシfb #shorts #shortreels #trending #quranquotes",37,"03/17/2024 04:03",N/A,https://www.facebook.com/reel/398019879645285/,0,0,"FB reel",,,,,Lifetime,650.75,8.34,1,9,2,105,110,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086506922681546,247903501729335,HU.co,,"#reels #reelsviralfb #reelsinstagram #reelsfypシfb #shorts #shortreels #trending #quranquotes",15,"03/17/2024 07:03",N/A,https://www.facebook.com/reel/1086506922681546/,0,0,"FB reel",,,,,Lifetime,1258.8,5.24,0,32,4,281,281,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122129682410198697,247903501729335,HU.co,,"ISHQ MURSHID
#ishqmurshid #humtv #bilalabbaskhan #moomalentertainment #farooqrind #durefishansaleem #excitement  #bilalabbas  #humtvdramas #comingsoon #psu #trending2024
#reelsvideoシ #reelsviralfb #trendingvideos #trendingposts",273,"03/17/2024 23:03",auto,https://www.facebook.com/hu.4113/posts/pfbid024acBwRJU8iH3mPh8tFPJ6DTJgetBVr6nsAYTLEXxMHUTFyrXN2p1houM3nn8mVLMl,0,0,Video,,,,,Lifetime,3074.65,29.85,1,7,4,115,121,,12,51,9,,11,21,11,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122129774504198697,247903501729335,HU.co,,"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending",278,"03/18/2024 06:03",N/A,https://www.facebook.com/hu.4113/posts/pfbid0Ub9TYrpuCz5PVAuAPXskZDmbbFqKMFBFM9NMFMRXHqczmj16G6u3dnKK3rpGbkP7l,0,0,Video,,,,,Lifetime,334.1,6.68,0,5,0,48,54,,0,32,,,0,5,5,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122129822312198697,247903501729335,HU.co,,"Very Filmy
#humtv #pakistan #dananeer  #BushraAnsari  #pakistanidrama  #pakistanicelebrities 
#humtvdramas #AliSafina  #SalmaHassan 
#reelsvideoシ #reelsviralfb #trendingposts #trending #drama #dramaqueen",205,"03/18/2024 09:03",N/A,https://www.facebook.com/hu.4113/posts/pfbid0W2USdVgwYsQnpNBjSXhfSqEnSicuhy9BunuRLf2qSHSY4u7bnpoRz1Vj7egwNsjbl,0,0,Video,,,,,Lifetime,512.91,10.91,0,5,0,50,55,,1,21,1,,1,6,6,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942122570458315,247903501729335,HU.co,,"#reels #reelsviralfb #reelsinstagram #reelsfypシfb #shorts #shortreels #trending",29,"03/20/2024 04:03",N/A,https://www.facebook.com/reel/942122570458315/,0,0,"FB reel",,,,,Lifetime,3201.08,10.56,2,19,3,225,229,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122130377594198697,247903501729335,HU.co,,"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending",290,"03/20/2024 05:03",N/A,https://www.facebook.com/hu.4113/posts/pfbid0P9Jy3WVaXDQWFQTouTZLZCmPrNYsSasrhuYCVURCVrs7giWWSURxvPcGawMCyp9ol,0,0,Video,,,,,Lifetime,509.18,10.61,0,6,0,54,56,,2,21,3,,2,9,9,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122130752984198697,247903501729335,HU.co,,"Very Filmy
#humtv #pakistan #dananeer  #BushraAnsari  #pakistanidrama  #pakistanicelebrities 
#humtvdramas #AliSafina  #SalmaHassan 
#reelsvideoシ #reelsviralfb #trendingposts #trending #drama #dramaqueen",142,"03/21/2024 07:03",auto,https://www.facebook.com/hu.4113/posts/pfbid0ZARCP95UDSUULVsmWUotV8ZZTYqtPjMMUhNfDgnnTto4EGrcQdiaBrRws5C6kCsKl,0,0,Video,,,,,Lifetime,308.5,6.56,0,6,0,53,54,,1,21,,,1,6,6,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122130795428198697,247903501729335,HU.co,,"Very Filmy
#humtv #pakistan #dananeer  #BushraAnsari  #pakistanidrama  #pakistanicelebrities 
#humtvdramas #AliSafina  #SalmaHassan 
#reelsvideoシ #reelsviralfb #trendingposts #trending #drama #dramaqueen",184,"03/21/2024 11:03",N/A,https://www.facebook.com/hu.4113/posts/pfbid02z62jfPxwmiaanoCoQcXZAGxcqiNk8xDbYNBSSvioJyuV9kkPpAAh5Q3PE3gFqhTfl,0,0,Video,,,,,Lifetime,602,8.85,0,5,0,28,29,,3,25,,,3,6,5,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091995151921000,247903501729335,HU.co,,"Jumma Mubarak 💚✨
Ramadan Kareem Second Ashra
.
.
.
.
.
.
.
.
#reels #reelsviralfb #reelsinstagram #reelsfypシfb #shorts #shortreels #trending #quranquotes #JummahMubarak #jummahmubarak2024 #doa #reel #reelsinstagram😍 #reelsinstagram❤️💯 #shorts #viralreels #ınstagramreels",60,"03/21/2024 22:03",N/A,https://www.facebook.com/reel/1091995151921000/,0,0,"FB reel",,,,,Lifetime,1002.58,6.31,0,18,0,196,197,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
