Post ID	Page ID	Page name	Title	Description	Duration (secs)	Publish time	Caption type	Permalink	Is crosspost	Is share	Post type	Languages	Custom labels	Funded content status	Data comment	Date	Engagements	Comments	Likes	Shares	Impressions	Reels plays	People reached	Ad impressions	Seconds viewed	Average Seconds viewed	3-second video views	Total clicks	Other clicks	Photo views	Article daily scroll depth	60-second video views	3-second viewers	Overall negative feedback	Unique negative feedback from users	Article average time spent	Unique 60-second video views	Engaged users	Ad CPM (USD)	Estimated earnings (USD)	"Views by top audience (13-17, M)"	"Views by top audience (13-17, F)"	"Views by top audience (25-34, M)"	"Views by top audience (25-34, F)"	"Views by top audience (18-24, M)"	"Views by top audience (18-24, F)"	"Views by top audience (65+, M)"	"Views by top audience (65+, F)"	"Views by top audience (55-64, M)"	"Views by top audience (55-64, F)"	"Views by top audience (45-54, M)"	"Views by top audience (45-54, F)"	"Views by top audience (35-44, M)"	"Views by top audience (35-44, F)"	Views by top audience (M)	Views by top audience (F)	Views by top audience (65+)	Views by top audience (55-64)	Views by top audience (45-54)	Views by top audience (35-44)	Views by top audience (25-34)	Views by top audience (18-24)	Views by top audience (13-17)	Views by country (Portugal (PT))	Views by country (United Kingdom (GB))	Views by country (Bangladesh (BD))	Views by country (India (IN))	Views by country (Pakistan (PK))	Views by country (Saudi Arabia (SA))	Views by country (New Zealand (NZ))
1.12133E+15	2.47904E+14	HU.co		#reels #reelsinsta#reelsinstagramreels #reelsvideo? #Instagram #trendingsongs	28	2/21/2024 5:02	N/A	https://www.facebook.com/reel/1121334892393290/	0	0	FB reel					Lifetime	11	6	5	0	182	183	167	0	1050.42	6.52																																												
1.2212E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	178	2/21/2024 7:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid0g5mA9JFX6ZKwhVU9rCYhQTADDpLUXXmdHo3D9JPibZ3NT62F8PRddGmSu72Dmz14l	0	0	Video					Lifetime	5	0	5	0	92		77	0	937.3	12.5	30	0			0	4	25	0	0	0	2	5	0	0																														
1.2212E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	286	2/21/2024 10:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid0DNqPprqz2nQ7hEYG6aJ4BuFsHYJUWuxiAcXpPsJxvX68mPcqzPgASCw2EbiY5NSBl	0	0	Video					Lifetime	3	0	3	0	62		47	0	243.4	4.77	16	1	1		0	1	12	0	0	0	1	4	0	0																														
1.2212E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	286	2/21/2024 21:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid02exnFuVHTHQhG3vtsgGycLthEB8TT2fbvYgUkmMBJhNoCj7VU3NXqZFLS5WTytgAVl	0	0	Video					Lifetime	5	0	5	0	59		44	0	2121.33	10.4	92	0			0	5	84	0	0	0	5	5	0	0																														
1.2212E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	155	2/21/2024 23:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid0wXcVHnLnWhVGULttGaKjgMcJGG7FWUiUqWK2LMvP6JkHVBXUwF7rCXCCfujFveW6l	0	0	Video					Lifetime	3	0	3	0	106		92	0	1207.47	13.88	29	4	4		0	6	24	0	0	0	6	7	0	0																														
1.2212E+17	2.47904E+14	HU.co		"ISHQ MURSHID 
#ishqmurshid #humtv #bilalabbaskhan #moomalentertainment #farooqrind #mdproductions #durefishansaleem #abdulkhaliqkhan #excitement #masterpaints #bilalabbas #yumnazaidi #wahajali #ayezakhan #humpr #humtvdramas #comingsoon #hibabukhari #sabaqamar #haniaamir #ferozekhan #muneebbutt #minalkhan #ahadrazamir #sajalaly #psu #farhansaeed #terebin #zaranoor #haroonkadwani"	124	2/22/2024 6:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid0qSkjSxnxx8JAmi6NdSTxRasoB4BB1aqfmXBmUTjKpQbs73m5FfpM6dkXTbVNCxiPl	0	0	Video					Lifetime	5	0	5	0	128		113	0	1295.41	10.98	40	4	4		0	7	35	0	0	0	6	9	0	0																														
1.2212E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	221	2/22/2024 10:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid029LFW6JmvTipw5EssgLCzXbBeoKuRkmpYV12mg7djy4iGgtbT4iC4GsiEd1qYeQvdl	0	0	Video					Lifetime	3	0	3	0	110		93	0	468.78	5.21	16	1	1		0	1	14	0	0	0	1	4	0	0																														
3.36984E+15	2.47904E+14	HU.co		#reelitfeelit #tiktok #trending #explore #instagood #follow #reelsvideo #fyp #followforfollowback #reelsinstagram #reel #reelsinsta #Instagram #reelsvideo? #reelsinstagramreels #reels	6	2/23/2024 22:02	N/A	https://www.facebook.com/reel/3369841879992202/	0	0	FB reel					Lifetime	4	0	4	0	181	218	165	0	510.49	3.27																																												
1.22121E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	224	2/24/2024 6:02	auto	https://www.facebook.com/hu.4113/posts/pfbid02vAm9SEXLoHCMk91BVeqfV7v23h99NtZdQME1P4cmS6j4isc23Pugnp4V8YBhEvb5l	0	0	Video					Lifetime	11	0	11	0	267		245	0	2761.87	11.7	91	9	9		0	10	82	0	0	0	10	15	0	0																														
1.22121E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	212	2/24/2024 22:02	auto	https://www.facebook.com/hu.4113/posts/pfbid02nWpeu9tP8vwAxU1knJh3YpoXUNyxRk8JrDT1feKcbFsrJzpem38SSFsDezfHNYeJl	0	0	Video					Lifetime	8	0	8	0	198		179	0	990.49	6.19	46	4	4		0	4	42	0	0	0	4	10	0	0																														
